subject_id,session_id,run_id,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qc_type,qi1,qi2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm,wm2max
sub-01,0,0,0.544640302658,1.4332587719,0.533017876881,312.469818115,4.69318,4.3119,4.95596,4.83732,0.202715323976,0.417046189322,0.380238486702,1.06380450726,0.515714073181,anat,0.00403967406104,0.0828414795571,54703.8359375,97354.25,44618.875,160,192,192,2.10900668888,6.83308634539,7.42638049192,13.3370484415,1.0,1.33333325386,1.33333325386,45.3780593872,15.9147548676,26.6932907104,52.7218742371,17.0,6.0,5.49999952316,15.840013504,75.0,26.0,48.0,78.0,18.4368267059,11.3098812103,13.321480751,20.5311660767,0.61320754717
sub-02,0,0,0.520757853985,1.3652946949,0.469442154288,455.972320557,4.47883,3.92999,4.83537,4.72794,0.189376112724,0.434556861369,0.376067025906,1.05448019505,0.387387061119,anat,0.00228161553061,0.103483140584,41490.859375,76917.625,33912.7578125,160,192,192,2.24376343154,7.03439175059,8.10347608292,15.0322730666,1.0,1.33333325386,1.33333325386,45.308883667,16.6063976288,27.2237186432,51.339050293,20.0,6.48000097275,6.15999937057,16.1000083923,71.0,27.0,47.0,73.0,16.5872879028,11.1044578552,13.0004339218,19.2962493896,0.598130841121
sub-03,0,0,0.566075801849,1.08176410198,0.551494314467,189.937942505,4.44582,4.00216,4.71632,4.65543,0.186210911681,0.441928130826,0.371860957492,1.26811158657,0.583323860168,anat,0.00719831459092,0.0427209523098,49610.09375,79173.25,47470.8515625,160,192,192,2.19227053797,8.37907690612,7.57926256829,12.1664402608,1.0,1.33333325386,1.33333325386,48.0865058899,18.1953315735,29.9422149658,52.6882553101,21.0,6.29000043869,6.72000932693,15.0000181198,76.0,30.0,52.0,80.0,17.8122215271,13.7558002472,14.1174898148,21.5111312866,0.589285714286
sub-04,0,0,0.510834872723,1.15858376026,0.549822568247,311.487579346,4.1139,3.64717,4.37933,4.3591,0.184840992876,0.468063403751,0.347095603373,1.28139817715,0.593520176411,anat,0.00960355097997,0.0725047806973,61209.8242188,89309.8359375,40766.0703125,160,192,192,1.68035319365,6.94067877522,7.42180107486,13.6443712557,1.0,1.33333325386,1.33333325386,41.9875030518,14.7821445465,25.7064704895,48.7609100342,16.0,5.0,4.20000934601,13.9400138855,69.0,25.0,45.0,72.0,17.2404785156,14.1269321442,12.7170190811,19.4489994049,0.491935483871
sub-05,0,0,0.502328515053,1.46228337288,0.494155451552,467.448486328,4.3493,3.97723,4.54172,4.55467,0.210685170898,0.422141181004,0.367173648098,1.04243052006,0.407301700115,anat,0.00159503399781,0.126147002757,46422.6953125,84821.6328125,32238.9511719,160,192,192,2.27656964926,6.82457421192,8.75423283022,17.1615546295,1.0,1.33333325386,1.33333325386,47.2525444031,17.4765205383,28.1670894623,54.9403686523,20.0,7.00000190735,5.67999982834,17.6400146484,75.0,28.0,50.0,78.0,17.7979335785,11.5425481796,14.1010398865,19.7207183838,0.644230769231
sub-06,0,0,0.493694752455,1.19164264202,0.556112250319,363.441619873,4.46163,4.03945,4.72513,4.65312,0.189888413099,0.446176344712,0.363935242189,1.14260482788,0.449868068099,anat,0.00143760967553,0.0802272282682,56678.5429688,100851.203125,39919.6210938,160,192,192,2.10546241765,6.99662896936,8.56202782714,16.5839920944,1.0,1.33333325386,1.33333325386,46.7252426147,17.0536766052,28.4760322571,53.777217865,20.0,6.48000097275,5.69999980927,16.9200153351,74.0,28.0,49.0,77.0,17.4944458008,13.0609054565,13.802983284,19.708480835,0.573913043478
sub-07,0,0,0.5056194067,1.33291828632,0.499636909735,426.528381348,4.07487,3.67361,4.30145,4.28187,0.209245201242,0.429011601265,0.361743197493,1.14478540421,0.408717188239,anat,0.00656557413535,0.0530581945544,51664.2851562,86380.40625,33590.140625,160,192,192,1.93614256483,6.7360473005,8.54773440356,16.9710133454,1.0,1.33333325386,1.33333325386,49.9986877441,18.3188114166,30.2035236359,58.0662155151,20.0,7.35000038147,5.72001171112,18.870016098,79.0,30.0,54.0,83.0,19.2408409119,14.2674026489,15.2160434723,20.9370765686,0.612068965517
sub-08,0,0,0.4909311831,1.37168264389,0.510031882203,467.261413574,4.37741,3.96808,4.56423,4.63131,0.172814676123,0.457950112787,0.36923521109,0.990702688694,0.419168555737,anat,0.000784953400571,0.127385806727,57840.4335938,92148.53125,39088.4609375,160,192,192,1.91537300302,6.99393512432,8.74823315662,17.3353913425,1.0,1.33333325386,1.33333325386,44.0847473145,16.4707603455,26.5813884735,50.0713157654,20.0,6.11999940872,5.0600104332,15.5800123215,70.0,26.909986496,46.0,72.0,16.4670448303,14.3628578186,12.941573143,18.6708316803,0.563636363636
sub-09,0,0,0.498223125935,1.23709976673,0.564277024191,347.639465332,4.69108,4.2532,4.96795,4.88568,0.211027423138,0.429618671279,0.359353905584,1.13569951057,0.539020848274,anat,0.0022416318652,0.085090318138,64772.2890625,111986.851562,42396.6953125,160,192,192,2.32742725922,7.18029653959,8.42457248593,15.765993659,1.0,1.33333325386,1.33333325386,46.3224639893,16.8840122223,28.0019073486,54.1276245117,19.0,6.7200012207,5.52001047134,16.8000144958,75.0,27.0,51.0,78.0,18.1621322632,12.0395708084,14.1838588715,20.1147480011,0.515625
sub-10,0,0,0.488832384348,1.41837489605,0.499680756448,437.298492432,4.55611,4.20175,4.74029,4.74841,0.201232738377,0.443540023435,0.355227238188,1.0334135294,0.446771144867,anat,0.00404267072164,0.0814593289835,49252.765625,91579.5703125,33753.546875,160,192,192,2.4125210511,6.97670546524,8.78676840433,16.9710786966,1.0,1.33333325386,1.33333325386,55.7208824158,20.2414550781,33.5021591187,64.7130584717,24.0,8.05000209808,6.63999986649,20.3500175476,89.0,32.7999801636,59.0,93.0,20.9854278564,13.2750072479,16.5134735107,24.0827999115,0.62015503876
