subject_id,session_id,run_id,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,m_tsnr,outlier,qc_type,quality,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_fg,summary_p05_bg,summary_p05_fg,summary_p95_bg,summary_p95_fg,summary_stdv_bg,summary_stdv_fg
sub-01,0,task-deterministicclassification_run-01,15.5606295094,1.11620705637,0.99747935324,0.539432622389,87.0650939941,0.0643439324436,0,0.0,6.37539,5.81902,6.04033,7.37241,0.019798122512,-0.0048586577177,0.0177541803569,45.3410797119,0.00108711111111,func,0.0104164363333,180,64,64,25,4.19206986991,2.0,3.125,3.125,5.0,29.7806587219,475.915618896,8.91666698456,290.668884277,121.888893127,641.409466553,43.846622467,113.791030884
sub-01,0,task-deterministicclassification_run-02,16.0938734024,1.10743078855,0.993161937765,0.540631262132,86.7016372681,0.0916344780626,0,0.0,6.425,5.87316,6.10626,7.39559,0.0173850536346,-0.0053759762086,0.0186620354652,45.7639198303,0.00118766666667,func,0.0103022941667,180,64,64,25,4.18934674676,2.0,3.125,3.125,5.0,29.863237381,473.99810791,8.92222213745,286.594451904,120.676947021,638.725561523,43.6598777771,113.389183044
sub-01,0,task-mixedeventrelatedprobe_run-01,15.7351266366,0.995961105847,0.976000836483,0.570337456734,64.5277252197,0.160038693232,5,2.10970464135,7.41127,6.60382,7.05848,8.73317,0.0344592549127,0.00235754298046,0.0269860513508,40.7957305908,0.0107528691983,func,0.0193044197046,237,64,64,25,5.44762426017,2.0,3.125,3.125,5.0,44.7102737427,619.459960938,9.0379743576,398.778039551,188.194921112,782.315142822,64.5930404663,116.591293335
sub-01,0,task-mixedeventrelatedprobe_run-02,17.2811088764,1.04664243525,0.972745792585,0.571222499254,62.3892784119,0.267121543619,6,2.53164556962,7.19638,6.45034,6.75946,8.54766,0.0862652903368,0.000755576707888,0.0266885813326,43.436340332,0.00601291139241,func,0.0146972061181,237,64,64,25,5.36984084529,2.0,3.125,3.125,5.0,45.7746391296,619.639831543,9.13502025604,396.557366943,190.27003479,785.867877197,65.9939117432,118.068824768
sub-01,0,task-probabilisticclassification_run-01,15.3894720879,1.07138268966,0.973893333184,0.538639503138,89.5517044067,0.0818016033743,0,0.0,6.58158,6.05987,6.18821,7.6026,0.0336250993941,-0.00320104928687,0.0184029601514,39.9160041809,0.00125488888889,func,0.0145274882778,180,64,64,25,4.25308723275,2.0,3.125,3.125,5.0,29.5342159271,480.859558105,8.9000005722,292.279437256,119.791671753,648.126141357,43.5219993591,113.651565552
sub-01,0,task-probabilisticclassification_run-02,16.4656906393,1.14700851291,1.01871934168,0.538683348553,87.4622650146,0.0777770881497,0,0.0,6.30789,5.80499,5.95017,7.26645,0.0312061044905,-0.00525740999728,0.0186220761389,46.9772186279,0.00210722222222,func,0.00876128822222,180,64,64,25,4.1580207473,2.0,3.125,3.125,5.0,29.6201438904,476.089263916,8.91666698456,288.061126709,120.222221375,644.416687012,43.8566055298,114.702697754
sub-02,0,task-deterministicclassification_run-01,13.2008279925,1.08126619402,1.00492675743,0.490600535263,87.5721893311,0.119256434228,0,0.0,6.72841,5.83496,6.64741,7.85321,0.025265566508,-0.0101176695898,0.032248031348,71.1956176758,0.000994944444444,func,0.00654000183333,180,64,64,25,5.65528288434,2.0,3.125,3.125,5.0,32.1970024109,612.443481445,7.42222261429,397.541677856,143.568887329,764.786120605,58.9664459229,111.412467957
sub-02,0,task-deterministicclassification_run-02,13.1436792991,1.06431407067,0.994778684134,0.491218735777,87.6886138916,0.120061133307,0,0.0,6.76045,5.85808,6.71913,7.84981,0.0191272589895,-0.00994568131864,0.032079976052,69.8043746948,0.00119983333333,func,0.00700714511111,180,64,64,25,5.70465064298,2.0,3.125,3.125,5.0,32.4558029175,614.442932129,7.43888902664,398.846118164,145.341119385,765.955010986,58.9725341797,111.020141602
sub-02,0,task-mixedeventrelatedprobe_run-01,12.8187862492,1.04512392911,0.976298492246,0.490991936604,88.3931808472,0.129245145245,0,0.0,6.79225,5.8724,6.76542,7.88733,0.0181312219,-0.010186069645,0.0321497321129,68.7718353271,0.000508523206751,func,0.00781724409283,237,64,64,25,5.70251423624,2.0,3.125,3.125,5.0,31.8423213959,612.374572754,7.4008436203,395.50166626,141.988183594,763.424230957,58.3642578125,110.913215637
sub-02,0,task-mixedeventrelatedprobe_run-02,13.3047102308,1.0498586,0.974827227669,0.491098739539,87.493019104,0.148779232915,0,0.0,6.92913,6.08588,6.81406,8.02246,0.0233487921928,-0.00991864595562,0.0351433195174,60.8060150146,0.00152299578059,func,0.0104597832489,237,64,64,25,5.78352441604,2.0,3.125,3.125,5.0,31.9017391205,615.197570801,7.38396596909,399.176777649,144.156526947,764.313470459,58.7038879395,109.950248718
